Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/products,100,50,50,53,55,60,45,115,0.000%,3.36123,157.36,0.42
GET /api/orders,100,71,74,79,81,111,42,121,0.000%,3.36542,73.22,0.42
TOTAL,200,61,53,78,80,111,42,121,0.000%,6.70488,229.88,0.84
