Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/products,100,11,11,13,15,20,4,50,0.000%,3.37018,157.73,0.42
GET /api/orders,100,68,71,74,76,79,41,89,0.000%,3.36780,73.29,0.41
TOTAL,200,39,41,73,74,77,4,89,0.000%,6.72405,230.51,0.83
