Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/products,100,17,9,50,4.44,0.000%,3.36428,157.49,0.61,47935.0
GET /api/orders,100,66,42,112,9.00,0.000%,3.36010,73.16,0.61,22297.0
TOTAL,200,42,9,112,25.35,0.000%,6.70893,230.07,1.22,35116.0
