GET /api/products,100,18,18,23,24,30,8,59,0.000%,3.36496,157.52,0.61
GET /api/orders,100,65,67,71,73,81,43,83,0.000%,3.36417,73.22,0.61
TOTAL,200,41,43,69,71,79,8,83,0.000%,6.71501,230.25,1.22
